step,tag,value
5094,episode/return,253.9661865234375
5094,episode/length,500.0
5095,episode/return,245.07522583007812
5095,episode/length,500.0
5120,train/consistency_loss_mean,5.773760378957604e-05
5120,train/consistency_loss_std,2.18293640040038e-05
5120,train/continue_loss_mean,0.0
5120,train/continue_loss_std,0.0
5120,train/grad_norm_mean,0.4158206967404112
5120,train/grad_norm_std,0.15849447629118735
5120,train/policy_log_std_mean,-1.107000725576654
5120,train/policy_log_std_std,0.5523795154167349
5120,train/policy_loss_mean,-0.34914775926154107
5120,train/policy_loss_std,0.02414499434616901
5120,train/reward_loss_mean,0.2688641399727203
5120,train/reward_loss_std,0.007573712495082311
5120,train/total_loss_mean,0.05627830118464772
5120,train/total_loss_std,0.001480483590560507
5120,train/value_loss_mean,0.2823713456164114
5120,train/value_loss_std,0.009929008683302121
5120,train/value_scale_mean,20.50190870463848
5120,train/value_scale_std,3.1237871117315366
5120,timing/collect_chunk_s,150.7079669223167
5120,timing/train_chunk_s,270.56437045056373
5120,dense_rhs/training_bucket_horizon,3.0
5120,system/heartbeat,1.0
6094,episode/return,325.64453125
6094,episode/length,500.0
6095,episode/return,333.169189453125
6095,episode/length,500.0
6144,train/consistency_loss_mean,5.370920741398777e-05
6144,train/consistency_loss_std,1.4316990407479078e-05
6144,train/continue_loss_mean,0.0
6144,train/continue_loss_std,0.0
6144,train/grad_norm_mean,0.44738691655220464
6144,train/grad_norm_std,0.18865094311092273
6144,train/policy_log_std_mean,-1.0758358128368855
6144,train/policy_log_std_std,0.5213226470406053
6144,train/policy_loss_mean,-0.3206428219564259
6144,train/policy_loss_std,0.011985284866492547
6144,train/reward_loss_mean,0.2698652455001138
6144,train/reward_loss_std,0.007287750043733097
6144,train/total_loss_mean,0.056471072442946024
6144,train/total_loss_std,0.0014143094934725375
6144,train/value_loss_mean,0.28410363115835935
6144,train/value_loss_std,0.01065490994528821
6144,train/value_scale_mean,28.374671302735806
6144,train/value_scale_std,1.5898384479576189
6144,timing/collect_chunk_s,14.28414941066876
6144,timing/train_chunk_s,0.9766130144707859
6144,dense_rhs/training_bucket_horizon,3.0
6144,system/heartbeat,1.0
6144,timing/checkpoint_blocking_s,0.48135827481746674
7094,episode/return,443.9324645996094
7094,episode/length,500.0
7095,episode/return,364.2322082519531
7095,episode/length,500.0
7168,train/consistency_loss_mean,5.4434050500873354e-05
7168,train/consistency_loss_std,2.0041518669735247e-05
7168,train/continue_loss_mean,0.0
7168,train/continue_loss_std,0.0
7168,train/grad_norm_mean,0.433606971957488
7168,train/grad_norm_std,0.17706643792947044
7168,train/policy_log_std_mean,-1.160852293483913
7168,train/policy_log_std_std,0.5830243288619567
7168,train/policy_loss_mean,-0.34074056812096387
7168,train/policy_loss_std,0.01351822584849663
7168,train/reward_loss_mean,0.27268657041713595
7168,train/reward_loss_std,0.0071855196631942205
7168,train/total_loss_mean,0.05658484135346953
7168,train/total_loss_std,0.0021217893086404494
7168,train/value_loss_mean,0.28227502678055316
7168,train/value_loss_std,0.016352020236058157
7168,train/value_scale_mean,33.51641510426998
7168,train/value_scale_std,1.140286121831414
7168,timing/collect_chunk_s,14.346600648015738
7168,timing/train_chunk_s,0.9530970081686974
7168,dense_rhs/training_bucket_horizon,3.0
7168,system/heartbeat,1.0
8094,episode/return,577.8362426757812
8094,episode/length,500.0
8095,episode/return,601.62841796875
8095,episode/length,500.0
8192,train/consistency_loss_mean,4.589980582636599e-05
8192,train/consistency_loss_std,1.1259634755252925e-05
8192,train/continue_loss_mean,0.0
8192,train/continue_loss_std,0.0
8192,train/grad_norm_mean,0.4158323059673421
8192,train/grad_norm_std,0.15613282690880054
8192,train/policy_log_std_mean,-1.162288151215762
8192,train/policy_log_std_std,0.6127930939914124
8192,train/policy_loss_mean,-0.3539359403657727
8192,train/policy_loss_std,0.013369965202623242
8192,train/reward_loss_mean,0.2735812477185391
8192,train/reward_loss_std,0.006886623442413696
8192,train/total_loss_mean,0.055883811408421025
8192,train/total_loss_std,0.001267075884659906
8192,train/value_loss_mean,0.2760768971638754
8192,train/value_loss_std,0.009356761170749437
8192,train/value_scale_mean,40.723144099116325
8192,train/value_scale_std,4.0016326141887335
8192,timing/collect_chunk_s,14.264816779643297
8192,timing/train_chunk_s,0.9933859989978373
8192,dense_rhs/training_bucket_horizon,3.0
8192,system/heartbeat,1.0
8192,timing/checkpoint_blocking_s,0.3707635561004281
